name,ingredients,diet,prep_time,cook_time,flavor_profile,course,state,region,instructions
Balu shahi,"Maida flour, yogurt, oil, sugar",vegetarian,45,25,sweet,dessert,West Bengal,East,"To prepare Balu Shahi, start by combining 2 cups of maida with a pinch of baking soda. Add 1/4 cup of ghee and rub the mixture until it resembles breadcrumbs. Gradually incorporate 1/2 cup of yogurt, kneading into a smooth dough. Let it rest for 2 hours. Shape small portions of the dough into balls, then flatten and shape the edges. Fry in oil until golden brown. In a separate pan, make a sugar syrup with 1 cup of sugar and 1/4 cup of water, reaching a one-string consistency. Dip the fried Balu Shahi into the warm syrup, ensuring they are coated, and garnish with nuts if desired. Allow them to cool before serving."
Boondi,"Gram flour, ghee, sugar",vegetarian,80,30,sweet,dessert,Rajasthan,West,"To make Boondi, mix gram flour (besan) with water to form a smooth batter. Heat ghee in a pan, and using a slotted spoon, drop small droplets of the batter into hot ghee to create tiny, round boondi. Fry until they turn golden and crisp. In a separate pan, prepare a sugar syrup by dissolving sugar in water, creating a thick consistency. Once the boondi is ready, toss it into the warm sugar syrup, ensuring an even coating. Allow the boondi to absorb the syrup, and then let it cool."
Gajar ka halwa,"Carrots, milk, sugar, ghee, cashews, raisins",vegetarian,15,60,sweet,dessert,Punjab,North,"To prepare Gajar ka Halwa, start by grating fresh carrots. In a pan, heat ghee and sauté the grated carrots until they are tender and release their aroma. Add milk to the carrots and cook on low heat, stirring occasionally until the carrots absorb the milk and become soft. Once the mixture thickens, add sugar to sweeten the halwa. Continue cooking until the sugar is well incorporated. In a separate pan, lightly fry cashews and raisins in ghee until they are golden. Add these nuts and raisins to the carrot mixture, giving the halwa a delightful crunch. Stir well and cook until the halwa reaches a rich, creamy consistency. Gajar ka Halwa is ready to be served, offering a delicious blend of sweetened carrots and the richness of milk and nuts."
Ghevar,"Flour, ghee, kewra, milk, clarified butter, sugar, almonds, pistachio, saffron, green cardamom",vegetarian,15,30,sweet,dessert,Rajasthan,West,"To prepare Ghevar, begin by mixing flour with ghee and kewra-infused water to form a thick batter. Heat clarified butter (ghee) in a wide, deep pan. Pour a small amount of the batter into the hot ghee, creating a circular shape, and let it cook until it forms a porous and crispy structure. Remove the golden Ghevar and immerse it in a saffron and green cardamom-flavored sugar syrup, allowing it to soak up the sweetness. Garnish the Ghevar with slivered almonds and pistachios for added texture and flavor. The result is a delightful Rajasthani dessert, featuring a crispy and syrup-soaked delicacy adorned with the richness of nuts and aromatic spices."
Gulab jamun,"Milk powder, plain flour, baking powder, ghee, milk, sugar, water, rose water",vegetarian,15,40,sweet,dessert,West Bengal,East,"To make Gulab Jamun, combine milk powder, plain flour, and baking powder in a bowl. Add ghee and milk, kneading the mixture into a soft dough. Shape small, smooth balls from the dough. In a separate pan, prepare a sugar syrup by dissolving sugar in water and adding a few drops of rose water for fragrance. Heat the syrup until it reaches a slightly sticky consistency. Deep-fry the dough balls in ghee until golden brown, then soak them in the warm sugar syrup. Allow the Gulab Jamuns to absorb the syrup, making them soft and sweet. These delectable treats are then ready to be enjoyed, offering a perfect blend of rich, milky flavor and floral sweetness."
Imarti,"Sugar syrup, lentil flour",vegetarian,10,50,sweet,dessert,West Bengal,East,"To create Imarti, start by preparing a sugar syrup with water, sugar, and a touch of saffron for color and flavor. Boil the syrup until it reaches a one-string consistency. In a separate bowl, mix lentil flour with water to form a smooth batter. Fill a piping bag with the batter and pipe concentric circles into hot oil, forming spiral shapes. Fry until they turn golden and crisp. Once fried, immerse the Imartis in the warm saffron-infused sugar syrup, allowing them to soak up the sweetness. The result is a delightful Indian sweet with intricate patterns, a crispy texture, and a syrupy sweetness that makes Imarti a beloved treat."
Jalebi,"Maida, corn flour, baking soda, vinegar, curd, water, turmeric, saffron, cardamom",vegetarian,10,50,sweet,dessert,Uttar Pradesh,North,"To prepare Jalebi, start by combining maida (all-purpose flour) and corn flour in a bowl. Add baking soda, a splash of vinegar, and curd, and mix well. Gradually add water to form a smooth, lump-free batter. Allow the batter to ferment for a few hours or overnight, enhancing its flavor. When ready to cook, add turmeric or saffron for color and cardamom for aroma to the batter. Fill a piping bag with the mixture and pipe swirls into hot oil, frying until they become crisp and golden. Once fried, soak the Jalebis in a sugar syrup until they absorb the sweetness. The result is a popular Indian sweet characterized by its coiled shape, vibrant color, and sweet, aromatic taste."
Kaju katli,"Cashews, ghee, cardamom, sugar",vegetarian,10,20,sweet,dessert,unknown,unknown,"To make Kaju Katli, start by grinding cashews into a fine powder. In a pan, melt a small amount of ghee and add the cashew powder. Stir and cook on low heat until it forms a smooth, lump-free mixture. In a separate pan, prepare a sugar syrup by dissolving sugar in water. Add the sugar syrup to the cashew mixture and continue to cook, stirring continuously, until it thickens and leaves the sides of the pan. Add crushed cardamom for flavor and aroma. Once the mixture reaches a dough-like consistency, transfer it to a greased plate and flatten it into a thin layer. Allow it to cool, then cut it into diamond-shaped pieces. Kaju Katli is a delicious and iconic Indian sweet with a rich cashew flavor and a hint of cardamom."
Kalakand,"Milk, cottage cheese, sugar",vegetarian,20,30,sweet,dessert,West Bengal,East,"To prepare Kalakand, start by bringing milk to a boil in a wide, heavy-bottomed pan. Add cottage cheese (paneer) to the boiling milk and stir continuously to avoid lumps. Cook the mixture on medium heat until it thickens and most of the moisture evaporates. Add sugar to the mixture and continue stirring. As the mixture thickens further, it will start leaving the sides of the pan. At this point, transfer the mixture to a greased plate and spread it evenly. Allow it to cool and set. Once set, cut the Kalakand into squares or desired shapes. This Indian sweet is known for its grainy texture and rich milky taste, making it a delightful treat for celebrations and festivals."
Kheer,"Milk, rice, sugar, dried fruits",vegetarian,10,40,sweet,dessert,unknown,unknown,"To prepare Kheer, start by washing rice and soaking it for about 30 minutes. In a pot, bring milk to a boil and then add the soaked rice. Simmer on low heat, stirring occasionally to prevent sticking, until the rice is fully cooked and the mixture thickens. Add sugar and continue to simmer until the sugar dissolves and the kheer reaches a creamy consistency. Optionally, add dried fruits such as raisins, chopped almonds, and cashews for added texture and flavor. Stir well and let the kheer cool before serving. This traditional Indian rice pudding is a comforting and delicious dessert, often enjoyed during festivals and special occasions."
